transaction_id,customer_id,bank_id,transaction_datetime,transaction_type,channel,amount,currency,location_id,counterparty_country,beneficiary_type,description,country_risk_score,home_country_code,pep_flag,kyc_status
T0002256,C00274,B003,2025-01-02 08:48:00,International Transfer,Online,4239.3,GBP,L016,HK,Individual,Salary,3,NG,1,Verified
T0005488,C00103,B010,2025-01-02 09:59:00,Card,Mobile,576.04,GBP,L013,NG,Own Account,Transfer,5,US,0,Verified
T0004637,C00018,B010,2025-01-02 10:55:00,Transfer,Online,1678.44,GBP,L016,HK,Own Account,Payment,3,BR,0,Verified
T0002686,C00110,B009,2025-01-02 11:45:00,Transfer,Branch,252.21,GBP,L013,NG,Business,Transfer,5,PL,0,Verified
T0000887,C00132,B009,2025-01-02 12:48:00,Transfer,Mobile,798.02,GBP,L006,NL,Own Account,Payment,1,SG,0,Verified
T0004632,C00115,B001,2025-01-02 13:23:00,Transfer,Branch,1646.01,GBP,L005,IT,Business,Invoice,1,NL,0,Verified
T0005512,C00059,B001,2025-01-02 13:54:00,Card,ATM,1299.54,GBP,L020,ZA,Own Account,Cash,3,TR,0,Verified
T0001540,C00151,B005,2025-01-02 14:47:00,Card,Branch,1825.14,GBP,L018,PL,Own Account,Purchase,2,US,0,Verified
T0004018,C00289,B012,2025-01-02 16:41:00,Transfer,Branch,893.05,GBP,L008,US,Business,Salary,2,ZA,0,Verified
T0000458,C00186,B001,2025-01-02 18:33:00,Card,ATM,2890.52,GBP,L018,PL,Business,Invoice,2,AE,0,Verified
T0003603,C00140,B011,2025-01-02 19:34:00,Transfer,Online,3396.53,GBP,L019,IN,Individual,Payment,3,PL,0,Verified
T0000975,C00285,B007,2025-01-02 20:37:00,Transfer,Mobile,1377.65,GBP,L007,IE,Business,Transfer,1,IN,0,Verified
T0001246,C00136,B006,2025-01-02 21:39:00,Card,Online,1243.84,GBP,L018,PL,Individual,Payment,2,IE,0,Verified
T0002745,C00294,B011,2025-01-02 22:35:00,Transfer,Online,4349.61,GBP,L007,IE,Individual,Transfer,1,DE,0,Verified
T0001162,C00250,B002,2025-01-03 01:34:00,Transfer,ATM,5848.71,GBP,L008,US,Individual,Cash,2,ES,0,Review Required
T0002609,C00247,B005,2025-01-03 02:03:00,Card,ATM,5654.31,GBP,L020,ZA,Own Account,Salary,3,IT,0,Verified
T0005589,C00129,B008,2025-01-03 02:12:00,Card,Mobile,2071.5,GBP,L017,CH,Individual,Transfer,2,BR,0,Verified
T0001734,C00002,B004,2025-01-03 02:37:00,Card,Online,303.96,GBP,L019,IN,Business,Transfer,3,PL,0,Verified
T0005825,C00278,B009,2025-01-03 03:25:00,Transfer,Mobile,1726.69,GBP,L003,DE,Own Account,Salary,1,DE,0,Verified
T0005560,C00065,B003,2025-01-03 06:59:00,Transfer,ATM,5722.71,GBP,L020,ZA,Own Account,Purchase,3,CA,0,Verified
T0004942,C00027,B002,2025-01-03 07:00:00,Card,Branch,234.07,GBP,L015,SG,Own Account,Salary,2,CH,0,Verified
T0003725,C00092,B002,2025-01-03 09:31:00,Card,Online,2668.8,GBP,L017,CH,Business,Salary,2,ZA,0,Verified
T0003577,C00036,B003,2025-01-03 12:37:00,International Transfer,Branch,1190.88,GBP,L017,CH,Own Account,Transfer,2,FR,0,Verified
T0004936,C00209,B012,2025-01-03 13:24:00,Transfer,ATM,461.18,GBP,L011,AE,Business,Invoice,4,IT,0,Verified
T0004172,C00061,B012,2025-01-03 13:49:00,Card,Branch,4462.22,GBP,L019,IN,Own Account,Purchase,3,CH,0,Verified
T0004462,C00210,B001,2025-01-03 17:05:00,Card,ATM,871.06,GBP,L007,IE,Business,Payment,1,FR,1,Verified
T0000060,C00172,B003,2025-01-03 17:45:00,Card,Branch,275.8,GBP,L008,US,Business,Cash,2,NG,0,Verified
T0002244,C00139,B007,2025-01-03 20:00:00,International Transfer,ATM,1263.52,GBP,L008,US,Individual,Invoice,2,IN,0,Verified
T0002092,C00140,B009,2025-01-03 20:03:00,Card,Mobile,776.96,GBP,L020,ZA,Own Account,Cash,3,PL,0,Verified
T0001185,C00137,B010,2025-01-03 21:32:00,Card,ATM,224.82,GBP,L013,NG,Business,Payment,5,US,0,Verified
T0002725,C00123,B001,2025-01-04 01:42:00,Cash Deposit,Branch,3322.44,GBP,L007,IE,Own Account,Invoice,1,ES,0,Verified
T0005901,C00276,B002,2025-01-04 02:53:00,Card,Branch,156.0,GBP,L001,GB,Individual,Cash,1,TR,0,Verified
T0002531,C00007,B008,2025-01-04 05:52:00,Transfer,Mobile,3635.12,GBP,L006,NL,Own Account,Payment,1,NG,0,Verified
T0005374,C00291,B002,2025-01-04 06:58:00,Cash Deposit,ATM,552.4,GBP,L012,TR,Individual,Transfer,4,ES,0,Verified
T0003026,C00224,B003,2025-01-04 07:55:00,International Transfer,Online,409.34,GBP,L012,TR,Own Account,Invoice,4,HK,0,Verified
T0002486,C00052,B009,2025-01-04 07:59:00,Cash Withdrawal,Branch,246.59,GBP,L016,HK,Individual,Purchase,3,DE,0,Verified
T0005966,C00065,B002,2025-01-04 12:34:00,International Transfer,Branch,450.12,GBP,L011,AE,Individual,Invoice,4,CA,0,Verified
T0005812,C00205,B012,2025-01-04 13:10:00,Card,Branch,6200.8,GBP,L016,HK,Business,Invoice,3,TR,0,Review Required
T0004266,C00151,B006,2025-01-04 13:41:00,Card,Branch,1034.75,GBP,L017,CH,Individual,Transfer,2,US,0,Verified
T0004495,C00189,B011,2025-01-04 14:41:00,International Transfer,Online,2248.94,GBP,L019,IN,Business,Transfer,3,IN,0,Verified
T0003733,C00156,B002,2025-01-04 14:42:00,Card,Mobile,713.88,GBP,L013,NG,Business,Cash,5,DE,0,Verified
T0000786,C00174,B007,2025-01-04 16:27:00,Transfer,Branch,2433.69,GBP,L010,AU,Individual,Salary,2,SG,0,Verified
T0003395,C00283,B005,2025-01-04 18:24:00,Transfer,Online,1010.49,GBP,L011,AE,Own Account,Payment,4,AU,0,Verified
T0005423,C00288,B006,2025-01-04 19:11:00,Cash Withdrawal,ATM,284.42,GBP,L018,PL,Own Account,Payment,2,FR,0,Verified
T0002860,C00074,B009,2025-01-04 19:48:00,Transfer,Online,568.72,GBP,L017,CH,Own Account,Transfer,2,AE,0,Verified
T0002359,C00273,B010,2025-01-04 21:12:00,Transfer,ATM,267.4,GBP,L015,SG,Business,Transfer,2,ES,0,Verified
T0005593,C00269,B003,2025-01-04 22:43:00,International Transfer,Branch,313.37,GBP,L005,IT,Own Account,Cash,1,FR,1,Verified
T0003768,C00275,B011,2025-01-04 23:29:00,Transfer,Branch,1497.87,GBP,L010,AU,Individual,Invoice,2,NL,0,Verified
T0000329,C00189,B011,2025-01-05 00:30:00,Transfer,Branch,682.49,GBP,L003,DE,Individual,Purchase,1,IN,0,Verified
T0002803,C00201,B005,2025-01-05 02:25:00,Card,ATM,4420.22,GBP,L012,TR,Individual,Purchase,4,GB,0,Verified
T0004278,C00081,B009,2025-01-05 02:38:00,Transfer,Branch,1490.63,GBP,L008,US,Own Account,Payment,2,BR,0,Verified
T0004288,C00144,B009,2025-01-05 03:32:00,Cash Deposit,Branch,876.7,GBP,L008,US,Own Account,Cash,2,ES,0,Verified
T0001492,C00279,B002,2025-01-05 03:56:00,Transfer,Branch,4158.82,GBP,L013,NG,Business,Transfer,5,IN,0,Verified
T0000713,C00245,B007,2025-01-05 04:00:00,Card,Mobile,167.34,GBP,L015,SG,Business,Salary,2,US,0,Verified
T0002323,C00180,B002,2025-01-05 06:42:00,Transfer,ATM,1178.78,GBP,L006,NL,Business,Payment,1,HK,0,Verified
T0003710,C00156,B009,2025-01-05 07:10:00,Card,Mobile,857.67,GBP,L010,AU,Business,Salary,2,DE,0,Verified
T0002708,C00244,B011,2025-01-05 08:10:00,Card,Mobile,343.58,GBP,L008,US,Individual,Cash,2,PL,0,Verified
T0002455,C00189,B009,2025-01-05 09:36:00,Transfer,Online,1354.68,GBP,L003,DE,Business,Purchase,1,IN,0,Verified
T0005329,C00014,B005,2025-01-05 12:31:00,International Transfer,Online,4262.21,GBP,L016,HK,Own Account,Transfer,3,FR,0,Verified
T0002504,C00267,B011,2025-01-05 13:28:00,Cash Deposit,Branch,547.99,GBP,L013,NG,Business,Payment,5,HK,0,Verified
T0005283,C00160,B011,2025-01-05 14:39:00,Cash Deposit,Online,325.2,GBP,L006,NL,Individual,Salary,1,US,0,Verified
T0000939,C00104,B006,2025-01-05 15:04:00,Transfer,Branch,1418.72,GBP,L006,NL,Business,Invoice,1,AE,0,Verified
T0005533,C00055,B006,2025-01-05 16:14:00,Transfer,Online,395.6,GBP,L011,AE,Own Account,Salary,4,CA,0,Verified
T0001855,C00300,B003,2025-01-05 16:58:00,Card,ATM,647.82,GBP,L007,IE,Own Account,Salary,1,IT,0,Verified
T0003766,C00201,B002,2025-01-05 20:05:00,International Transfer,Branch,1855.51,GBP,L008,US,Business,Cash,2,GB,0,Verified
T0003860,C00142,B005,2025-01-06 03:31:00,Cash Deposit,ATM,1250.06,GBP,L011,AE,Own Account,Invoice,4,PL,0,Verified
T0005942,C00164,B002,2025-01-06 04:29:00,Card,Mobile,256.67,GBP,L002,FR,Individual,Cash,1,BR,0,Verified
T0001121,C00167,B003,2025-01-06 05:05:00,Cash Withdrawal,Mobile,592.6,GBP,L007,IE,Individual,Cash,1,SG,0,Verified
T0004883,C00195,B001,2025-01-06 05:42:00,Transfer,ATM,1401.98,GBP,L009,CA,Individual,Purchase,2,BR,0,Verified
T0003559,C00110,B012,2025-01-06 06:22:00,Transfer,Branch,472.49,GBP,L009,CA,Business,Invoice,2,PL,0,Verified
T0004916,C00119,B007,2025-01-06 07:01:00,Card,Mobile,577.53,GBP,L001,GB,Individual,Payment,1,FR,0,Verified
T0002879,C00236,B002,2025-01-06 08:18:00,Transfer,ATM,4185.66,GBP,L015,SG,Individual,Transfer,2,HK,0,Verified
T0001529,C00001,B002,2025-01-06 09:04:00,Card,ATM,1445.21,GBP,L020,ZA,Business,Purchase,3,IE,0,Verified
T0004307,C00103,B007,2025-01-06 09:19:00,Cash Deposit,Branch,561.87,GBP,L015,SG,Own Account,Payment,2,US,0,Verified
T0001381,C00110,B002,2025-01-06 10:47:00,International Transfer,ATM,531.95,GBP,L020,ZA,Own Account,Transfer,3,PL,0,Verified
T0004653,C00259,B002,2025-01-06 10:56:00,Transfer,Branch,160.91,GBP,L007,IE,Individual,Purchase,1,SG,0,Verified
T0000513,C00028,B005,2025-01-06 11:20:00,Transfer,Mobile,142.21,GBP,L012,TR,Own Account,Purchase,4,ES,0,Verified
T0002033,C00216,B007,2025-01-06 11:59:00,Transfer,Online,199.24,GBP,L019,IN,Business,Payment,3,PL,0,Verified
T0005307,C00050,B009,2025-01-06 12:08:00,Card,ATM,1467.72,GBP,L010,AU,Individual,Invoice,2,AE,0,Verified
T0004335,C00157,B011,2025-01-06 12:32:00,Card,Online,140.84,GBP,L015,SG,Individual,Salary,2,HK,0,Verified
T0001296,C00004,B010,2025-01-06 14:38:00,Card,Online,328.14,GBP,L003,DE,Business,Cash,1,IT,0,Verified
T0002479,C00101,B001,2025-01-06 14:49:00,International Transfer,Mobile,1475.21,GBP,L002,FR,Individual,Invoice,1,PL,0,Verified
T0000766,C00156,B005,2025-01-06 15:17:00,Card,Branch,408.34,GBP,L002,FR,Business,Salary,1,DE,0,Verified
T0000215,C00229,B001,2025-01-06 18:27:00,Cash Deposit,Branch,90.36,GBP,L015,SG,Business,Salary,2,IT,0,Verified
T0003134,C00046,B008,2025-01-06 19:41:00,Card,ATM,136.57,GBP,L011,AE,Individual,Transfer,4,NG,1,Verified
T0001231,C00067,B007,2025-01-06 20:35:00,Card,Online,843.13,GBP,L005,IT,Individual,Cash,1,CA,0,Verified
T0000376,C00028,B012,2025-01-06 22:10:00,Card,Online,264.74,GBP,L004,ES,Individual,Purchase,1,ES,0,Verified
T0001182,C00299,B009,2025-01-06 22:17:00,Card,Branch,1029.41,GBP,L003,DE,Individual,Invoice,1,AE,0,Verified
T0003771,C00258,B007,2025-01-06 23:25:00,International Transfer,Branch,686.19,GBP,L010,AU,Own Account,Transfer,2,GB,0,Verified
T0002173,C00007,B003,2025-01-06 23:37:00,Transfer,Branch,394.75,GBP,L019,IN,Individual,Invoice,3,NG,0,Verified
T0000647,C00011,B010,2025-01-07 03:31:00,International Transfer,Online,113.74,GBP,L013,NG,Individual,Payment,5,IE,0,Verified
T0002129,C00116,B010,2025-01-07 04:54:00,Card,Online,918.48,GBP,L015,SG,Individual,Cash,2,AE,0,Verified
T0001601,C00043,B009,2025-01-07 11:00:00,Card,Mobile,144.67,GBP,L010,AU,Business,Transfer,2,US,0,Verified
T0001263,C00040,B004,2025-01-07 11:08:00,Card,Mobile,2066.62,GBP,L013,NG,Own Account,Invoice,5,FR,0,Verified
T0005111,C00126,B009,2025-01-07 11:39:00,Transfer,Online,1205.43,GBP,L011,AE,Individual,Transfer,4,IN,0,Verified
T0001127,C00061,B011,2025-01-07 12:30:00,Cash Withdrawal,Branch,1289.92,GBP,L012,TR,Individual,Payment,4,CH,0,Verified
T0002125,C00017,B005,2025-01-07 12:47:00,Card,ATM,1013.08,GBP,L007,IE,Own Account,Payment,1,US,0,Verified
T0003040,C00163,B004,2025-01-07 15:41:00,Card,Branch,465.97,GBP,L010,AU,Individual,Salary,2,CH,0,Verified
T0002310,C00057,B005,2025-01-07 16:49:00,Card,ATM,2758.08,GBP,L013,NG,Individual,Salary,5,DE,0,Review Required
T0000335,C00145,B009,2025-01-07 17:30:00,Card,Branch,103.23,GBP,L008,US,Own Account,Purchase,2,AU,0,Verified
T0002618,C00220,B012,2025-01-07 17:45:00,Card,Online,2554.16,GBP,L004,ES,Own Account,Invoice,1,SG,0,Verified
T0004512,C00156,B009,2025-01-07 22:04:00,Card,ATM,205.11,GBP,L019,IN,Own Account,Payment,3,DE,0,Verified
T0004211,C00138,B007,2025-01-07 22:37:00,International Transfer,ATM,597.56,GBP,L016,HK,Business,Transfer,3,DE,0,Verified
T0001338,C00071,B005,2025-01-08 06:21:00,Card,ATM,2115.03,GBP,L001,GB,Own Account,Cash,1,US,1,Verified
T0001124,C00186,B006,2025-01-08 09:43:00,Card,ATM,1403.21,GBP,L019,IN,Own Account,Salary,3,AE,0,Verified
T0005719,C00031,B009,2025-01-08 10:39:00,Cash Deposit,Branch,267.52,GBP,L001,GB,Own Account,Invoice,1,NL,0,Review Required
T0002145,C00155,B003,2025-01-08 12:24:00,Cash Withdrawal,Online,958.2,GBP,L011,AE,Business,Invoice,4,CA,0,Verified
T0001660,C00075,B002,2025-01-08 13:16:00,Cash Withdrawal,Online,1054.54,GBP,L006,NL,Own Account,Invoice,1,ES,1,Verified
T0002923,C00074,B007,2025-01-08 13:59:00,Card,ATM,1670.71,GBP,L018,PL,Own Account,Purchase,2,AE,0,Verified
T0002271,C00163,B012,2025-01-08 15:01:00,Card,Branch,2078.29,GBP,L005,IT,Individual,Payment,1,CH,0,Verified
T0004619,C00032,B010,2025-01-08 15:14:00,Transfer,Mobile,2065.92,GBP,L016,HK,Own Account,Transfer,3,PL,0,Verified
T0001946,C00200,B004,2025-01-08 16:51:00,Card,ATM,922.2,GBP,L010,AU,Business,Cash,2,IN,0,Verified
T0005191,C00008,B003,2025-01-08 17:50:00,Card,Mobile,4668.28,GBP,L018,PL,Business,Purchase,2,TR,0,Verified
T0000326,C00277,B007,2025-01-08 22:17:00,Card,Branch,2543.17,GBP,L017,CH,Own Account,Transfer,2,CA,0,Verified
T0000369,C00062,B008,2025-01-08 23:14:00,Card,Branch,1046.85,GBP,L003,DE,Individual,Transfer,1,ES,0,Verified
T0002494,C00254,B003,2025-01-09 00:25:00,Transfer,Mobile,810.12,GBP,L014,BR,Individual,Cash,3,BR,0,Verified
T0002416,C00042,B010,2025-01-09 00:41:00,Card,Mobile,1169.33,GBP,L014,BR,Business,Cash,3,PL,0,Verified
T0002796,C00173,B011,2025-01-09 01:18:00,Transfer,ATM,3103.46,GBP,L005,IT,Individual,Payment,1,FR,0,Verified
T0001760,C00252,B006,2025-01-09 03:13:00,Card,Online,1069.55,GBP,L012,TR,Individual,Payment,4,IT,1,Verified
T0005709,C00275,B002,2025-01-09 07:29:00,Card,ATM,1136.92,GBP,L008,US,Individual,Transfer,2,NL,0,Verified
T0004981,C00161,B002,2025-01-09 09:11:00,Card,Online,186.66,GBP,L013,NG,Own Account,Transfer,5,NL,0,Verified
T0004799,C00265,B005,2025-01-09 12:07:00,Transfer,Branch,1140.17,GBP,L015,SG,Own Account,Invoice,2,ZA,0,Verified
T0000724,C00100,B009,2025-01-09 14:26:00,Cash Deposit,Branch,2674.18,GBP,L013,NG,Individual,Transfer,5,SG,0,Verified
T0003268,C00019,B005,2025-01-09 14:57:00,Transfer,Branch,1948.52,GBP,L012,TR,Own Account,Salary,4,IT,1,Verified
T0000475,C00023,B002,2025-01-09 16:06:00,Card,Mobile,508.01,GBP,L007,IE,Own Account,Payment,1,PL,0,Verified
T0005628,C00124,B005,2025-01-09 19:35:00,Card,Branch,242.63,GBP,L009,CA,Business,Invoice,2,NG,0,Verified
T0003552,C00044,B005,2025-01-09 20:10:00,Transfer,Mobile,448.79,GBP,L020,ZA,Business,Invoice,3,PL,0,Review Required
T0002626,C00117,B012,2025-01-09 21:37:00,Transfer,Mobile,164.81,GBP,L018,PL,Own Account,Purchase,2,BR,0,Verified
T0004089,C00094,B005,2025-01-09 21:49:00,Card,Online,246.93,GBP,L012,TR,Individual,Salary,4,ZA,0,Verified
T0004938,C00099,B009,2025-01-09 23:53:00,Card,ATM,1345.6,GBP,L007,IE,Business,Salary,1,SG,0,Verified
T0001951,C00191,B008,2025-01-10 03:21:00,Card,Mobile,148.59,GBP,L004,ES,Business,Purchase,1,IT,1,Verified
T0000510,C00238,B010,2025-01-10 04:12:00,Card,Branch,1556.23,GBP,L013,NG,Own Account,Transfer,5,CH,0,Review Required
T0002607,C00235,B003,2025-01-10 06:13:00,International Transfer,Online,1296.04,GBP,L011,AE,Own Account,Transfer,4,IT,0,Verified
T0003122,C00066,B011,2025-01-10 07:32:00,Card,Mobile,1741.2,GBP,L016,HK,Business,Salary,3,CA,0,Verified
T0000706,C00266,B006,2025-01-10 08:00:00,Cash Withdrawal,Mobile,692.17,GBP,L002,FR,Business,Cash,1,IT,0,Verified
T0005018,C00094,B009,2025-01-10 08:57:00,Card,Online,1024.33,GBP,L001,GB,Individual,Purchase,1,ZA,0,Verified
T0002246,C00071,B003,2025-01-10 12:52:00,Card,Mobile,1322.34,GBP,L006,NL,Own Account,Purchase,1,US,1,Verified
T0005916,C00107,B003,2025-01-10 13:31:00,Transfer,ATM,138.53,GBP,L019,IN,Individual,Invoice,3,BR,0,Verified
T0000749,C00078,B010,2025-01-10 13:44:00,Transfer,Branch,361.99,GBP,L010,AU,Business,Transfer,2,CA,0,Verified
T0003963,C00176,B002,2025-01-10 17:28:00,Transfer,ATM,18307.42,GBP,L016,HK,Individual,Transfer,3,ZA,0,Verified
T0002791,C00021,B009,2025-01-10 20:45:00,Card,Branch,315.63,GBP,L006,NL,Business,Transfer,1,NG,0,Verified
T0000273,C00239,B003,2025-01-10 22:06:00,Cash Deposit,ATM,260.05,GBP,L009,CA,Individual,Purchase,2,NG,0,Verified
T0005978,C00001,B004,2025-01-10 22:33:00,Card,Mobile,10936.27,GBP,L017,CH,Individual,Salary,2,IE,0,Verified
T0003844,C00200,B003,2025-01-11 03:17:00,Cash Deposit,Mobile,339.53,GBP,L007,IE,Own Account,Cash,1,IN,0,Verified
T0001705,C00276,B001,2025-01-11 03:41:00,International Transfer,ATM,1018.28,GBP,L002,FR,Own Account,Transfer,1,TR,0,Verified
T0004088,C00285,B008,2025-01-11 04:09:00,Card,Online,157.26,GBP,L011,AE,Individual,Payment,4,IN,0,Verified
T0005809,C00190,B006,2025-01-11 05:33:00,Card,Online,1202.63,GBP,L005,IT,Individual,Transfer,1,SG,0,Verified
T0002364,C00124,B011,2025-01-11 10:13:00,Transfer,Online,1795.57,GBP,L003,DE,Individual,Invoice,1,NG,0,Verified
T0004234,C00184,B002,2025-01-11 10:43:00,Card,Mobile,1092.61,GBP,L002,FR,Individual,Cash,1,HK,0,Verified
T0001086,C00242,B011,2025-01-11 11:29:00,Cash Withdrawal,Mobile,3247.14,GBP,L003,DE,Business,Invoice,1,AE,0,Verified
T0003582,C00093,B008,2025-01-11 15:29:00,Card,Mobile,15522.19,GBP,L016,HK,Own Account,Transfer,3,IE,0,Review Required
T0002715,C00195,B001,2025-01-11 16:52:00,International Transfer,Mobile,1538.21,GBP,L002,FR,Own Account,Invoice,1,BR,0,Verified
T0004868,C00277,B003,2025-01-11 17:36:00,Card,Branch,3061.13,GBP,L015,SG,Individual,Transfer,2,CA,0,Verified
T0004475,C00187,B001,2025-01-11 18:01:00,International Transfer,Branch,1280.79,GBP,L015,SG,Business,Cash,2,BR,0,Verified
T0003902,C00154,B008,2025-01-11 19:11:00,Transfer,Branch,1026.89,GBP,L004,ES,Individual,Payment,1,ZA,0,Verified
T0003115,C00118,B012,2025-01-11 19:43:00,Cash Deposit,Online,569.57,GBP,L017,CH,Individual,Transfer,2,PL,0,Verified
T0005928,C00158,B001,2025-01-11 20:50:00,International Transfer,Online,169.88,GBP,L004,ES,Own Account,Transfer,1,SG,0,Verified
T0002680,C00217,B003,2025-01-11 22:13:00,Transfer,ATM,774.63,GBP,L011,AE,Business,Purchase,4,ES,0,Verified
T0004513,C00235,B006,2025-01-11 22:15:00,Card,Mobile,665.77,GBP,L015,SG,Business,Purchase,2,IT,0,Verified
T0001595,C00275,B003,2025-01-11 22:40:00,International Transfer,Branch,226.12,GBP,L008,US,Individual,Invoice,2,NL,0,Verified
T0002091,C00087,B006,2025-01-11 22:43:00,Card,Online,1347.27,GBP,L015,SG,Individual,Purchase,2,BR,0,Verified
T0000838,C00208,B010,2025-01-11 23:15:00,Card,Online,842.64,GBP,L012,TR,Own Account,Purchase,4,TR,0,Verified
T0003572,C00174,B007,2025-01-11 23:40:00,Card,Branch,343.37,GBP,L020,ZA,Business,Purchase,3,SG,0,Verified
T0004126,C00032,B002,2025-01-11 23:47:00,Cash Deposit,Mobile,1223.18,GBP,L002,FR,Individual,Purchase,1,PL,0,Verified
T0004136,C00158,B006,2025-01-12 01:47:00,Cash Withdrawal,Mobile,126.0,GBP,L010,AU,Business,Cash,2,SG,0,Verified
T0000783,C00029,B002,2025-01-12 02:23:00,Transfer,ATM,887.58,GBP,L004,ES,Business,Salary,1,IN,0,Verified
T0001192,C00233,B012,2025-01-12 02:53:00,Transfer,Mobile,2862.34,GBP,L018,PL,Individual,Cash,2,ES,0,Verified
T0001517,C00188,B005,2025-01-12 05:59:00,Cash Withdrawal,ATM,3651.13,GBP,L018,PL,Own Account,Payment,2,IT,0,Verified
T0002178,C00290,B009,2025-01-12 06:28:00,Card,Online,2032.77,GBP,L017,CH,Own Account,Transfer,2,AE,0,Verified
T0003542,C00097,B005,2025-01-12 07:54:00,Card,Online,274.16,GBP,L014,BR,Individual,Cash,3,US,0,Verified
T0000385,C00213,B004,2025-01-12 08:10:00,Card,Online,957.83,GBP,L004,ES,Individual,Cash,1,CA,0,Review Required
T0003543,C00155,B003,2025-01-12 11:45:00,Card,Online,664.91,GBP,L005,IT,Business,Invoice,1,CA,0,Verified
T0002242,C00159,B012,2025-01-12 12:50:00,Card,Online,739.11,GBP,L012,TR,Individual,Invoice,4,IN,0,Verified
T0002718,C00095,B012,2025-01-12 14:06:00,International Transfer,Branch,411.77,GBP,L003,DE,Individual,Transfer,1,IN,0,Verified
