customer_id,annual_income,monthly_debt_payment,loan_amount,loan_term_months,existing_loans_count,account_open_date
114237,47550.56,628.92,18329.96,48,2.0,30-11-2020
106803,32065.62,523.28,4131.41,48,0.0,15/07/2026
120181,29058.96,115.37,10501.74,12,2.0,11/14/2022
109276,37146.21,448.26,6069.76,48,1.0,2026-03-21
110030,25140.69,219.42,18106.56,300,2.0,26-12-2021
105518,31841.96,-287.28,33690.9,180,0.0,2024-10-09
120105,11935.87,961.93,6487.2,84,2.0,11/01/2023
103100,26358.15,869.16,18778.16,48,1.0,06/04/2022
106141,39638.69,624.37,6138.57,84,2.0,2018-11-01
106846,46539.73,763.2,7034.51,240,0.0,2018-01-11
107172,35430.96,400.94,20451.82,240,0.0,2022-08-24
103572,19965.27,1052.08,5833.01,240,0.0,26-05-2023
115342,23756.15,719.5,11473.68,180,0.0,15/09/2018
101962,19315.2,164.35,17283.98,48,0.0,19/08/2019
116696,18102.22,407.36,13967.96,36,2.0,01/03/2018
118374,16095.24,539.06,11440.05,60,3.0,2021-06-28
115495,80095.09,1164.58,11229.7,180,1.0,22-01-2022
108350,16028.42,489.27,8945.9,84,3.0,2020-11-24
106316,17757.07,828.34,19630.66,60,1.0,10/03/2025
109652,59017.99,611.97,16783.76,84,0.0,24-03-2020
102195,141728.01,532.6,13874.57,120,0.0,28-03-2026
112189,43280.48,-355.34,12697.38,12,0.0,07/01/2021
112250,21426.99,580.14,9084.61,48,2.0,04/09/2019
106164,52772.75,239.76,8083.67,84,1.0,28-03-2024
100482,26355.15,576.87,31796.83,120,2.0,09/15/2025
113644,20521.13,820.3,3049.47,48,1.0,2018-11-17
118359,11919.46,786.42,9022.12,84,2.0,02/15/2018
106483,19547.71,64.74,12825.22,120,1.0,01/03/2023
114714,17838.88,0.0,21183.9,180,2.0,22-04-2026
112988,37598.33,582.09,16131.53,60,0.0,2023-07-19
116855,46918.66,1305.37,4652.43,84,1.0,2020-10-27
119499,92409.36,679.63,10933.02,24,2.0,14/01/2023
104110,20304.64,769.38,14063.27,180,2.0,31-07-2021
113876,66263.09,628.22,5052.81,300,1.0,2022-06-07
102534,47678.91,842.66,13249.81,300,0.0,06-09-2020
112969,20647.6,752.19,10327.68,300,1.0,26/06/2023
104410,32259.87,383.75,6104.42,300,1.0,2025-04-08
109405,18700.75,286.02,5467.56,120,1.0,12/18/2020
119926,30946.63,295.75,8051.18,300,0.0,22-11-2022
117487,16890.67,510.52,15708.32,120,5.0,16/06/2020
108873,,-606.88,13604.96,12,2.0,04/22/2018
112656,,996.96,5753.86,84,1.0,01/16/2023
114585,25357.83,520.82,6144.56,36,0.0,11-10-2022
114352,32128.51,213.82,10731.16,84,0.0,07-04-2026
111783,33679.17,878.63,15276.38,240,0.0,16/04/2022
113477,25169.67,0.0,20347.08,12,1.0,03/15/2025
107007,39172.56,78.5,11468.0,48,1.0,2025-04-18
119227,62657.57,804.29,22119.5,60,0.0,01/28/2024
107656,30745.29,850.14,16307.17,12,0.0,31/08/2018
107800,35633.07,555.87,12763.34,300,0.0,2023-01-29
108703,36928.22,64.66,6495.05,300,1.0,22/04/2024
102235,76457.25,492.45,8754.53,12,1.0,10/05/2023
113725,23350.4,0.0,4261.66,240,0.0,2023-09-10
109665,31229.41,539.29,3659.06,84,3.0,08/11/2023
109397,43346.63,419.97,14223.92,180,0.0,04/14/2019
107361,38846.78,893.15,12868.1,24,3.0,12/28/2018
106891,37822.7,879.54,7326.72,300,0.0,04/08/2025
104520,30160.99,578.62,13213.11,60,1.0,2025-09-21
113460,38911.43,30.53,6506.33,84,2.0,05/10/2025
103226,43002.15,969.53,7907.48,300,1.0,26/09/2020
112440,39953.84,738.34,29088.12,120,1.0,2025-05-02
118352,-30610.92,667.02,7855.53,48,0.0,01/03/2024
104143,-7645.03,550.89,21192.06,300,1.0,27-10-2022
114170,-15858.41,1150.68,4387.82,240,3.0,2025-04-14
109787,47664.15,333.25,24183.73,300,1.0,22/04/2020
110856,26354.46,493.19,3974.19,24,0.0,16-04-2026
116442,48891.12,978.75,7465.81,60,1.0,26-10-2019
116847,11597.89,742.66,29727.31,84,2.0,14/09/2019
104068,31526.04,575.45,24621.11,24,0.0,29/06/2022
103015,42194.69,888.26,7293.17,180,1.0,08/25/2022
106814,79049.84,1176.57,8809.19,180,0.0,08/07/2019
101077,24579.22,1021.95,9628.4,12,1.0,20-01-2021
118197,41507.83,472.9,3286.79,24,2.0,17-02-2020
106332,18776.08,752.59,4750.93,48,0.0,26/04/2020
108174,24429.46,0.0,6700.24,60,2.0,2018-03-23
119876,39211.05,279.62,15858.26,60,0.0,05/28/2018
119564,27766.13,400.69,8913.16,24,0.0,18/02/2019
111881,20080.64,393.0,15242.68,36,2.0,2022-11-10
101747,41152.3,559.95,16670.45,60,2.0,04/17/2022
111825,42555.08,1001.82,17090.09,48,0.0,05/09/2021
100133,55816.89,1218.31,9085.47,300,3.0,25/06/2020
108882,21810.72,190.12,7538.37,12,4.0,26-09-2018
102174,27930.94,1132.11,25694.61,180,1.0,2022-05-25
101642,-11522.82,1327.28,4372.06,60,0.0,01-09-2021
107046,72375.11,1415.3,3845.23,120,1.0,16-05-2022
105885,26027.34,117.58,7133.16,24,0.0,12/08/2023
111566,32696.29,829.73,6556.99,240,0.0,30-12-2019
102425,21339.17,854.37,26516.24,240,0.0,06/11/2023
106920,30144.35,472.32,18608.7,24,1.0,26/12/2025
112376,37132.25,932.12,23733.01,120,1.0,16-01-2021
119154,51627.78,919.33,9762.28,48,1.0,08-01-2024
107476,15966.95,328.88,6200.22,300,1.0,06/01/2019
120363,20000.47,696.94,8051.27,48,0.0,27/07/2019
108960,30525.15,1443.43,10032.77,36,1.0,29-01-2020
110375,11435.76,868.73,5138.18,240,4.0,2022-07-25
101201,46314.02,1008.05,11240.11,84,0.0,10/12/2020
106409,30310.19,414.14,18759.45,36,0.0,26-11-2025
108360,17090.57,15.35,8897.71,24,0.0,13-09-2019
110854,43431.59,271.33,7744.21,300,1.0,15/05/2026
115231,30326.01,489.64,4407.57,36,1.0,2026-08-17
119800,30164.8,669.24,28133.86,300,1.0,28-11-2024
114471,14009.28,519.68,12515.71,240,1.0,18/01/2018
102876,78231.65,391.48,8611.01,300,2.0,06/07/2024
107250,21151.27,551.67,5271.58,60,0.0,30-04-2020
109364,30467.16,488.74,2491.26,84,2.0,2019-10-11
100911,27737.96,864.86,8325.35,240,2.0,2018-07-10
112931,19437.42,852.0,16386.6,84,0.0,29/12/2018
118679,40624.34,587.55,4449.75,84,2.0,2018-05-27
111900,30401.88,1385.7,9063.99,36,0.0,04-01-2025
102127,30032.71,1324.51,9838.75,24,2.0,2019-06-27
102710,24422.28,0.0,30987.02,36,1.0,26/05/2026
103421,46863.72,900.42,8073.42,24,0.0,02/10/2019
108317,19620.31,730.89,17445.31,240,2.0,19-05-2025
119841,26681.46,729.9,14917.82,60,0.0,2023-04-30
106258,16002.64,263.49,3483.65,180,0.0,21-10-2018
118833,14433.01,4.99,25089.97,36,2.0,30/12/2024
112532,29773.0,964.86,2525.49,120,1.0,06/02/2022
118664,-30177.05,135.13,36194.93,60,2.0,25/12/2024
112470,35360.12,58.57,10961.88,120,0.0,03/03/2020
114185,35366.87,611.58,11726.72,36,1.0,29/03/2023
102501,46520.84,1002.9,18920.6,48,1.0,08/13/2023
117173,40716.17,1189.83,4405.66,300,1.0,02/23/2023
113590,28549.56,0.0,15053.66,120,0.0,18-02-2026
112821,36454.3,651.31,8507.06,300,1.0,04/14/2025
103068,30683.92,1617.09,7096.06,36,0.0,06/27/2022
101097,26179.69,304.3,16012.72,36,2.0,2025-01-10
113517,25701.24,817.04,4373.36,36,0.0,2019-02-14
102992,32220.76,764.09,18395.55,240,0.0,01/11/2025
103947,27887.92,1042.7,4556.53,84,1.0,19-01-2020
115964,31297.21,211.97,5708.05,120,0.0,21-04-2024
103142,84660.34,627.41,20386.77,24,4.0,14/12/2024
113700,-41868.73,532.38,35299.47,12,0.0,18/11/2022
117739,18567.57,90.0,12822.92,84,0.0,27-04-2020
111753,11690.85,991.53,10101.94,84,1.0,2023-08-06
110746,43419.71,513.23,6130.13,48,1.0,21/10/2021
116397,15044.94,480.9,6492.89,180,3.0,11/03/2026
105923,26183.58,723.92,13137.2,36,1.0,08/17/2024
105047,17095.76,856.62,5006.08,12,3.0,2019-10-06
113166,53357.04,766.18,30069.43,180,1.0,2020-03-23
118547,13345.78,626.77,18262.33,84,0.0,2024-11-15
112794,36977.99,1143.77,13231.27,24,0.0,02/02/2026
105071,33694.25,1656.55,10355.03,300,1.0,12/13/2023
100341,48131.52,1012.42,6861.57,24,3.0,11/11/2022
114914,42183.64,-276.03,9955.19,60,2.0,07/10/2020
115019,33366.56,268.93,8308.23,300,2.0,2024-05-07
105478,34755.37,306.56,8065.03,120,2.0,01/27/2024
103776,40864.14,403.46,6286.86,36,1.0,03/25/2025
116815,39780.36,529.58,6160.61,12,2.0,12-05-2020
109357,37047.58,336.08,10727.36,84,1.0,09/09/2024
120426,30100.06,278.59,16717.04,48,1.0,2019-01-23
109317,29650.3,6.22,8630.94,120,1.0,10/13/2025
119083,22535.79,1064.71,9277.16,48,2.0,2026-08-31
112834,44807.23,138.17,5709.59,12,2.0,2024-09-03
113655,16549.66,-288.09,10789.51,84,0.0,13-10-2023
103263,30042.6,396.28,7074.18,84,1.0,25-02-2024
116717,16399.63,785.51,11186.11,36,0.0,2023-06-09
110534,29062.37,795.59,4980.92,240,1.0,2025-06-07
119660,27889.86,1228.03,4009.44,24,1.0,2025-01-14
106490,29839.13,836.47,12457.59,240,1.0,02-11-2020
104505,22678.2,1152.59,16770.68,12,1.0,2021-01-31
102084,18724.19,1166.25,6428.59,300,1.0,22-11-2023
117574,36198.54,1149.37,5607.39,36,0.0,29-08-2024
102859,29152.47,1447.66,8682.41,48,2.0,08/09/2025
100640,20876.73,897.43,19662.75,24,0.0,03/10/2020
116252,51456.93,479.67,24138.48,24,0.0,26/10/2021
103733,23690.8,545.0,28388.15,60,1.0,06/22/2019
119205,14172.07,0.0,10267.17,180,0.0,08-01-2023
108292,44711.79,751.95,8576.17,120,1.0,2023-08-23
118004,41493.79,1214.77,6984.15,48,1.0,29/05/2020
105503,13301.66,714.82,16801.3,12,3.0,08-01-2024
119335,24761.22,359.22,8848.89,48,1.0,10/29/2023
108914,43611.31,216.18,9787.19,84,1.0,02/14/2021
116574,57819.7,754.22,9136.2,180,2.0,2024-07-02
103286,33579.82,1363.65,22526.65,240,0.0,2022-10-12
102885,16499.65,796.12,18118.02,24,1.0,11/11/2021
103609,18698.18,295.16,5757.19,84,0.0,01-09-2020
110300,37785.43,0.0,10497.65,84,1.0,2021-06-25
109620,35975.6,630.92,23496.1,240,0.0,04-12-2023
102605,19772.48,108.6,8108.41,180,2.0,18-02-2018
113698,56698.68,985.79,6867.81,12,0.0,22-10-2022
108056,47055.4,539.41,4261.21,24,2.0,03-08-2023
111449,46090.11,742.87,10101.74,180,2.0,24-10-2025
110687,18472.26,1016.96,4886.94,180,1.0,14/11/2018
114814,54450.93,320.3,2398.07,60,3.0,04/10/2019
118666,18638.16,1284.03,22497.45,180,3.0,09-06-2023
106298,27459.27,0.0,27069.92,180,0.0,21-10-2020
108773,28514.74,746.49,15685.09,180,1.0,12/17/2018
108045,61979.96,917.63,8059.98,24,3.0,2019-12-07
106798,31595.84,284.48,7499.39,240,1.0,29-08-2023
118534,43941.69,618.63,5794.59,48,0.0,11/03/2022
102812,17887.24,384.37,12124.98,180,1.0,24/11/2018
107882,27933.07,1207.35,18803.87,180,3.0,2018-10-08
101297,26417.98,157.39,3564.8,12,1.0,18-02-2024
105115,13580.9,1719.4,18792.22,12,1.0,2021-02-22
109618,18045.39,-535.53,5974.98,36,1.0,2018-09-26
115994,39351.88,888.12,21729.64,84,0.0,09/10/2020
103189,26323.66,0.0,11143.3,240,0.0,03/05/2022
109293,23345.28,-1180.0,19974.63,12,0.0,03/16/2021
113887,-43452.19,647.37,12870.08,300,0.0,2018-02-12
118409,42816.83,1099.88,9843.65,120,1.0,2020-07-26
112074,28521.35,548.12,11300.67,300,2.0,05/12/2025
108442,37072.65,1544.91,13566.42,84,0.0,04-04-2025
110528,22397.63,1067.26,16233.97,240,1.0,27/10/2018
101768,27356.11,731.04,4316.38,36,0.0,12-04-2018
118417,-31786.69,529.47,13331.9,48,1.0,2025-09-10
103509,35639.03,874.24,25440.18,24,0.0,23/02/2018
105770,22903.95,598.95,3845.64,120,0.0,05/15/2020
114856,25051.22,1434.39,4417.43,12,1.0,05-04-2025
118349,34911.41,625.42,8515.43,240,0.0,2019-08-08
117604,19360.43,676.54,9480.79,36,1.0,31/08/2024
116283,48691.89,474.84,14056.57,120,0.0,21/07/2021
109737,53285.37,644.41,15494.54,84,0.0,2021-10-08
108383,21146.99,412.34,8166.99,240,0.0,2020-01-23
108673,26922.78,521.93,7831.28,180,1.0,05/01/2020
105711,-20329.06,482.57,10040.59,36,2.0,23/07/2026
105163,40943.82,1478.42,20498.42,36,1.0,17-01-2022
104556,23069.5,1132.8,4795.72,24,2.0,03/30/2020
103974,23175.83,451.75,21548.57,12,0.0,26-01-2020
103350,23304.88,1007.17,11888.94,36,0.0,04/13/2023
105960,28768.5,1045.0,8679.43,240,0.0,10-03-2020
104325,50680.56,846.95,3760.87,12,0.0,2018-05-28
115079,24570.71,1078.91,3910.09,240,2.0,03/14/2024
107763,22059.44,1020.69,6657.62,120,0.0,05/10/2022
100408,34289.66,383.05,11364.45,300,0.0,25-08-2024
111647,18896.43,1460.88,12520.32,60,2.0,10/09/2025
107303,,353.81,10499.4,60,0.0,06-10-2023
118170,69764.5,934.92,4550.46,180,2.0,16/03/2020
116814,12982.56,529.23,9703.66,240,0.0,07/22/2020
101355,20455.92,665.71,16059.58,12,2.0,27-04-2018
113271,29359.06,-1526.23,5013.24,240,1.0,2024-10-02
101978,-28083.62,0.0,8817.31,24,1.0,12/21/2022
100563,51811.43,0.0,16680.87,48,0.0,02/08/2018
103926,39376.61,758.82,7123.45,24,1.0,2020-09-29
114515,22005.01,352.4,20220.57,84,3.0,11/13/2019
106847,24858.08,494.17,11225.01,120,1.0,19-06-2025
114844,54996.22,89.83,10919.5,180,0.0,02/24/2021
102950,73995.57,593.57,16316.48,300,1.0,2020-03-23
119661,22487.02,0.0,15833.84,240,0.0,10/18/2021
104982,43189.39,702.69,17026.27,48,1.0,2020-10-24
115184,71692.64,604.02,6019.45,24,1.0,24-12-2021
109194,19406.64,890.87,5285.84,240,0.0,2024-08-14
116439,13196.47,-761.19,14378.62,60,0.0,27-06-2022
115467,35582.93,1360.98,11697.64,120,3.0,19-07-2025
102308,29915.36,640.5,8882.1,60,3.0,10/08/2026
116228,43435.92,1034.96,5721.63,24,2.0,02-01-2025
117225,23600.41,372.5,5798.76,24,4.0,31-10-2019
118861,58544.17,598.98,4158.01,180,1.0,15/04/2022
108379,37714.82,0.0,6094.81,180,3.0,14/04/2021
100474,26780.16,299.39,11208.52,180,1.0,03/14/2023
117107,26916.04,831.45,6761.63,240,3.0,09/01/2022
113480,19632.95,887.33,10697.69,180,2.0,2022-04-16
108426,10675.79,523.78,35345.63,84,1.0,2018-09-02
107592,15719.49,555.14,4350.25,120,0.0,05/01/2019
102725,28142.74,548.85,9506.2,180,1.0,06/08/2025
115203,34891.39,631.5,5689.88,120,1.0,27/03/2026
118319,36713.34,773.36,8691.69,300,0.0,01/16/2020
105236,18069.36,484.6,5460.59,60,0.0,20-09-2025
120471,18659.5,1175.59,15653.4,36,1.0,2023-01-24
100971,41116.92,621.28,24517.29,180,2.0,04/18/2018
106974,29049.8,-519.71,30825.51,48,2.0,12/11/2020
109902,20408.31,629.5,2568.61,48,2.0,09/12/2020
106195,45282.57,836.31,4244.4,48,0.0,21/03/2021
119027,24664.58,319.97,12582.62,24,0.0,07/31/2022
102119,48826.29,98.76,30960.55,12,2.0,2024-10-05
101398,21838.51,1059.8,5707.06,120,1.0,10/02/2022
109913,22594.44,1192.04,9031.37,48,2.0,01/21/2018
113356,42535.04,716.67,15811.8,240,3.0,02/24/2019
117102,17578.13,611.06,7084.9,240,1.0,12/02/2025
103585,37422.47,641.85,8864.7,240,2.0,03-01-2025
112980,25637.33,560.97,7638.14,36,0.0,08/15/2019
107945,34816.35,268.5,13390.8,60,0.0,01/04/2024
106061,34944.46,959.27,3238.16,180,0.0,09-01-2023
100856,28733.84,1207.57,7940.43,240,0.0,12/10/2022
118822,19928.49,763.42,10666.42,48,0.0,06/10/2019
112965,20829.48,338.9,1638.58,36,2.0,09/10/2020
118224,38372.26,1103.93,11861.45,84,1.0,19-11-2020
112051,14289.12,162.05,11431.58,84,1.0,2019-11-12
102751,25081.0,952.05,19912.7,24,0.0,02/10/2021
114777,44625.85,1140.99,8423.24,84,0.0,06/10/2021
114759,36727.32,989.67,11946.67,180,2.0,06-08-2025
107163,37409.36,617.74,47380.55,36,0.0,27/02/2023
116776,70879.28,0.0,28299.14,120,1.0,28-03-2024
101535,39605.38,750.81,4360.84,36,1.0,09/01/2025
111622,18396.13,32.8,6646.33,300,1.0,01/12/2025
105893,31800.52,953.72,9554.09,60,2.0,2019-01-21
116971,31890.27,493.61,5371.91,180,2.0,2020-12-25
108193,10921.67,1101.32,25663.4,240,1.0,11-04-2018
116231,27109.35,842.64,3697.96,300,2.0,2026-05-13
104199,32924.97,1227.93,9052.74,36,1.0,2021-02-12
102789,33230.99,806.35,9279.61,48,0.0,01/30/2025
106688,47311.68,887.46,16443.75,120,2.0,11-09-2023
104024,31034.25,456.45,10245.97,24,0.0,01/26/2023
110146,57744.72,1099.1,13021.78,120,0.0,06/09/2020
119233,40541.08,746.12,10254.16,84,0.0,03/26/2025
109495,48169.24,1457.07,13403.21,12,1.0,04/06/2022
109006,28163.85,140.12,5715.89,12,1.0,24/01/2021
105589,15306.27,726.94,25578.81,12,4.0,04/26/2023
105995,36168.11,1142.4,7637.56,24,2.0,01/11/2024
106091,47579.81,1190.1,7259.75,24,2.0,03/30/2024
118963,46021.82,1108.85,6068.99,36,0.0,24/02/2025
112038,27025.2,1117.65,24531.94,240,1.0,2024-04-03
113892,26185.46,1184.87,21904.99,12,1.0,2018-06-04
103784,27759.76,412.54,3535.46,60,1.0,2019-09-19
104197,37565.54,921.17,17021.01,12,0.0,22/06/2018
116503,45158.27,406.12,14584.52,240,0.0,26-03-2021
109838,38304.37,-634.78,6336.84,120,1.0,2025-12-06
107473,33126.69,801.92,5096.97,36,2.0,04/13/2022
105357,10923.16,697.92,3559.17,60,2.0,09-02-2025
112630,,1586.47,3488.4,120,0.0,11/06/2020
103458,37384.2,441.66,10654.85,120,0.0,2023-12-22
116795,21292.24,404.65,4158.74,180,0.0,11/17/2022
101433,15740.52,1107.72,7008.04,36,0.0,2024-07-24
119743,21208.04,757.16,9890.97,60,1.0,24-06-2021
106703,,393.36,17622.05,180,0.0,09/02/2018
115866,19066.58,291.31,4379.51,12,1.0,04/05/2026
109452,11404.57,624.7,24704.12,36,0.0,2019-10-26
112634,20496.52,1310.93,6990.61,300,2.0,05/10/2019
103485,,,,24,,2020-12-15
113651,27639.99,365.34,9779.43,300,2.0,03/10/2020
103328,65295.7,560.35,13863.78,84,0.0,31/03/2020
115533,40452.68,891.42,10293.16,84,1.0,2018-07-24
104921,48463.83,898.38,4204.97,180,1.0,30/04/2023
112551,37670.87,603.83,12056.79,240,2.0,30-01-2019
115155,29900.18,378.78,3611.57,240,1.0,17/04/2021
106551,37184.1,1050.03,19910.37,36,0.0,07/10/2020
116417,22433.2,1081.58,31762.3,36,2.0,11/12/2021
113266,27111.78,1125.6,14002.2,48,0.0,2022-04-25
105887,39211.62,1145.69,8931.65,36,1.0,2025-01-10
104739,24894.38,75.66,6042.56,36,1.0,02/10/2019
110508,21734.04,842.52,4022.23,240,2.0,13/11/2024
112680,34588.56,555.06,12598.36,180,0.0,2024-06-05
102826,48822.99,507.05,8276.45,48,0.0,30-11-2024
111901,50995.73,344.46,6956.49,12,2.0,05/10/2025
119260,34202.07,292.72,15851.9,240,0.0,24-07-2025
106650,-63426.03,397.75,8931.58,12,0.0,06/07/2024
109213,12493.48,0.0,5550.57,240,1.0,12/26/2018
118439,23370.43,516.66,4899.01,300,2.0,09/01/2025
101870,22591.23,891.15,9706.44,240,4.0,03/10/2021
102008,48069.8,1655.56,5320.38,180,1.0,2023-09-12
111920,20468.07,1271.89,15627.24,84,1.0,18/11/2018
104328,34788.65,786.61,31634.97,12,1.0,13/09/2021
114575,47949.41,816.31,3691.86,36,0.0,05/02/2023
119881,22552.46,1323.49,9713.79,120,2.0,22/03/2021
118759,16350.81,468.09,16485.85,36,2.0,2019-05-04
114540,38791.91,-795.13,1742.09,60,3.0,2023-02-17
101911,18953.19,1133.07,12240.11,300,1.0,09/07/2018
119399,12607.59,1033.26,3871.54,180,1.0,07/05/2024
113133,56418.25,0.0,15332.62,36,3.0,26/02/2025
115963,27042.94,325.64,7586.54,24,1.0,05/25/2020
112041,51170.71,314.88,3275.23,120,1.0,05/14/2020
115221,25944.54,891.8,2980.13,36,4.0,11/28/2023
104978,7768.68,645.57,3281.81,36,4.0,04/05/2023
102450,70316.3,426.86,9389.63,12,0.0,2022-09-10
110547,19037.99,813.78,5847.39,24,3.0,02-07-2018
100843,20502.9,443.95,10154.04,24,2.0,24-06-2019
104902,43083.74,897.83,14211.84,24,0.0,26-04-2018
103821,23249.67,534.91,13878.98,12,0.0,19-02-2023
109876,38700.63,514.3,3696.32,48,1.0,06/07/2023
104610,25499.7,394.28,4507.44,36,1.0,14/09/2024
117866,18155.67,1927.2,6414.42,300,0.0,17-04-2023
101288,48417.18,375.54,26350.4,48,3.0,28-11-2025
108247,,1175.81,7243.72,60,1.0,01-08-2025
100538,16990.2,782.89,13035.55,240,0.0,2021-06-15
105915,40723.9,720.91,40638.62,300,0.0,05/07/2018
113251,-89373.95,265.52,8157.75,180,1.0,08/03/2024
110798,33998.43,434.43,14664.93,24,2.0,01/23/2022
113548,915709.2,333.07,9603.85,60,1.0,03-08-2020
101710,46840.48,1008.03,15130.22,12,2.0,02/26/2018
115698,25092.78,484.52,7357.76,24,3.0,23-04-2023
117706,48541.38,355.99,9363.78,120,1.0,2026-07-17
110662,44009.95,437.08,18350.65,48,2.0,2025-03-18
113148,39178.41,954.13,16739.62,60,0.0,2018-01-31
109680,17515.79,493.7,11473.13,180,0.0,01/20/2024
114682,88136.49,1101.33,9229.18,240,2.0,01/17/2019
113609,46139.77,,,120,,28/07/2026
101640,25196.55,368.55,2789.65,120,1.0,2021-08-26
109742,35759.11,492.35,2786.34,12,1.0,2025-06-15
102214,22832.88,688.46,3763.43,120,1.0,26/04/2019
110272,27264.49,571.45,4001.7,24,1.0,01/02/2019
100290,15511.95,1356.21,12144.06,300,1.0,04/22/2020
106812,21708.98,517.52,4845.02,12,3.0,07/19/2022
101182,32873.95,1060.48,22236.09,240,2.0,21/01/2018
118485,15750.63,536.79,21620.92,240,1.0,26-01-2022
118761,14704.66,322.43,12224.16,180,0.0,03/24/2019
119447,41898.29,1154.27,8455.35,12,3.0,03/11/2021
116183,22857.56,623.4,9984.18,36,2.0,13/04/2020
102041,-34540.28,1146.09,7269.17,84,2.0,29/04/2021
117718,33462.76,1078.59,22435.86,180,1.0,2018-03-03
105809,21984.1,609.25,3876.29,12,2.0,08/02/2020
106006,21904.99,447.23,10566.83,180,1.0,2022-11-28
104417,24483.18,-980.25,11078.95,48,3.0,08-11-2018
101052,11769.56,919.37,39966.28,24,2.0,24-09-2019
114173,26866.25,-168.52,14644.85,48,0.0,2018-07-26
119953,19780.87,475.77,2769.78,300,1.0,20/11/2021
108466,38124.88,824.82,4562.97,48,0.0,2019-11-07
111318,31411.91,624.58,9479.48,240,2.0,11/04/2019
118730,121734.24,1392.58,5435.88,48,1.0,01/02/2020
102199,30628.15,524.41,10777.5,240,2.0,04-08-2019
116365,39141.06,0.0,5854.38,180,0.0,16/11/2019
105836,57165.62,947.92,6583.79,180,1.0,03/14/2018
108271,20467.69,145.05,13767.31,12,1.0,24-01-2018
109047,14822.98,512.88,7765.81,120,0.0,02/24/2018
117164,25479.02,452.2,19619.1,240,0.0,25/12/2018
115774,22652.66,476.38,10939.69,300,2.0,06/12/2024
109050,22642.17,223.62,8275.98,12,0.0,2019-04-20
107599,54278.25,725.22,14121.37,36,1.0,17/02/2021
110993,23521.36,0.0,4601.58,84,2.0,08/26/2025
116485,34960.16,288.99,25323.72,48,1.0,03/07/2018
105787,17374.04,912.02,11188.58,300,2.0,2021-10-30
109560,52366.23,0.0,14111.23,60,3.0,2018-02-01
103310,16241.32,1226.49,18368.92,180,1.0,2021-12-27
113027,15737.65,937.73,9826.43,120,2.0,08/11/2022
118000,122223.4,372.32,13773.04,60,2.0,2025-02-09
109625,37728.98,607.34,10137.52,120,0.0,06/20/2019
112829,24298.7,987.35,20705.85,300,1.0,2024-11-09
101456,16961.11,887.93,22228.73,300,2.0,12-11-2024
114647,16291.41,645.31,7593.96,240,3.0,2022-01-10
111388,22285.77,1263.6,24708.99,300,0.0,05/12/2020
105980,48651.53,584.19,1832.58,240,1.0,31-12-2018
119196,24022.84,201.57,10182.31,300,1.0,01/02/2025
101166,15335.03,615.92,10958.93,60,2.0,05/01/2018
115291,23801.2,391.09,9840.85,36,1.0,12-11-2025
111727,45792.64,298.85,14529.87,60,1.0,13/11/2024
116738,30498.07,668.93,8020.49,84,3.0,2025-03-30
104265,41536.97,866.61,8233.92,300,2.0,2025-02-10
107215,50240.09,1036.25,4968.09,300,1.0,01/14/2021
