claim_id,customer_id,claim_date,claim_type,claim_amount,claim_status
508861,116146,02/26/2023,Auto,2609.08,Pending
513135,119937,2025-01-06,Auto,1422.62,Rejected
503509,115668,2019-08-03,Auto,1695.99,Approved
509029,107860,2025-04-15,Auto,4850.52,Under Review
509724,112097,05/25/2023,Life,3444.95,Approved
502357,114835,2026-07-14,Travel,363.77,Approved
503260,111833,06/05/2026,Auto,2708.22,Approved
503585,106165,15-12-2019,Auto,1174.62,Pending
501739,114121,02/24/2024,Home,2387.16,Under Review
500708,120298,08/09/2020,Auto,1346.7,Approved
500764,103211,09/24/2024,Home,1561.0,Rejected
514465,114512,2024-04-03,Auto,3266.83,Approved
508540,106017,29-01-2022,Auto,4823.76,Under Review
507820,114462,10/11/2019,Home,4759.32,Rejected
502088,106237,12/01/2019,Home,1806.26,Approved
513630,104703,25/12/2024,Auto,1452.07,Approved
502562,106405,27-08-2024,Home,3700.88,Rejected
512547,108707,05/15/2021,Health,389.73,Under Review
502807,101358,2022-10-14,Home,2472.61,Approved
513579,108467,2025-04-16,Home,1743.4,Rejected
508613,116272,23/08/2023,Auto,-1290.87,Under Review
512707,103363,2023-09-07,Home,988.34,Under Review
504953,112042,03/11/2026,Health,2554.15,Rejected
500566,106926,09/20/2023,Auto,953.95,Approved
500914,104742,29/05/2026,Health,,Under Review
505344,116797,2019-07-05,Home,1559.1,Under Review
501056,103887,03/31/2024,Home,2945.75,Approved
514715,115934,10/19/2022,Health,1145.53,Approved
503087,118642,08-09-2025,Life,16701.87,Approved
512925,116232,22/05/2025,Home,2785.48,Rejected
500290,106812,17-01-2019,Auto,1139.49,Pending
508542,106017,2023-09-08,Travel,218.67,Approved
514727,108110,29-05-2025,Auto,1449.77,Approved
503274,102394,23/08/2023,Health,929.51,Rejected
502308,118396,09-07-2026,Auto,1983.61,Pending
514557,118225,16-12-2025,Home,8383.46,Pending
513177,116029,17-01-2023,Life,11127.46,Under Review
509862,100551,11/07/2024,Auto,1765.12,Pending
506526,108651,21-04-2022,Health,478.69,Under Review
514212,106469,2019-11-05,Health,1154.87,Approved
509674,108684,07/05/2024,Home,3383.77,Pending
505001,104665,04/09/2024,Auto,1161.14,Under Review
501795,110772,19/10/2019,Health,801.72,Approved
500088,111881,03/31/2024,Auto,2607.29,Approved
503615,110583,15-07-2024,Auto,2022.26,Approved
514348,119198,10/10/2019,Auto,326.74,Approved
507963,100372,01/06/2026,Health,1225.51,Rejected
503578,103288,2024-09-28,Auto,681.53,Approved
503101,103120,30-01-2021,Auto,798.34,Rejected
514775,103152,04/02/2019,Travel,131.36,Approved
514082,114755,08/17/2025,Travel,218.43,Pending
509272,107734,2022-01-22,Auto,864.3,Pending
506440,104457,15-08-2020,Travel,185.33,Under Review
512560,113767,24/01/2020,Travel,259.64,Rejected
505830,111532,08/20/2025,Auto,725.49,Pending
512480,102176,11-05-2025,Health,226.88,Approved
508810,120239,10-09-2021,Home,8824.4,Rejected
502140,101277,01/08/2019,Travel,331.99,Approved
504098,106544,04-08-2020,Home,2757.16,Approved
509869,103497,09/19/2024,Auto,619.18,Approved
501984,106715,02/10/2021,Travel,1088.43,Approved
500351,106234,12/07/2019,Auto,1005.4,Under Review
504786,109541,10/03/2022,Health,1020.04,Pending
502236,113741,2025-09-29,Auto,1337.09,Approved
512574,110343,13/02/2026,Auto,826.17,Rejected
508764,108701,2022-06-07,Home,3629.7,Rejected
510727,101894,15/05/2022,Health,1685.91,Rejected
510420,112653,05/06/2022,Health,563.67,Approved
508131,113396,2019-04-28,Auto,714.96,Approved
501580,118326,07/08/2022,Auto,1848.27,Pending
507666,116522,19-05-2023,Home,2094.89,Approved
512945,119186,11/11/2019,Auto,995.11,Pending
502126,107672,10/07/2022,Home,5018.16,Under Review
509825,101860,02-07-2024,Travel,-177.79,Approved
514648,102911,27/04/2020,Auto,381.19,Approved
510504,105325,19/11/2025,Home,2015.38,Approved
513512,109218,11/06/2023,Auto,598.92,Approved
512414,103551,18-05-2021,Auto,4830.2,Approved
510854,107192,11/10/2022,Life,13806.56,Approved
507743,101193,07/12/2020,Home,2555.67,Under Review
512656,116237,16/09/2019,Home,1479.53,Under Review
507567,120292,03-11-2024,Home,5138.5,Approved
502232,111285,14/04/2024,Auto,1542.86,Approved
503405,111253,21/03/2019,Health,414.61,Approved
501358,116581,12/03/2026,Auto,1524.17,Approved
504950,119482,28-08-2026,Auto,1145.71,Approved
505610,108858,06/06/2023,Travel,319.18,Rejected
512679,110350,07/27/2019,Auto,4718.36,Approved
504520,104040,2025-04-11,Health,277.16,Approved
501747,117798,03/02/2026,Travel,197.88,Approved
503434,109869,2022-05-22,Travel,269.33,Rejected
513995,101279,2022-06-30,Health,647.98,Approved
512171,115641,2023-07-01,Health,288.81,Approved
511782,113780,2022-09-13,Health,459.37,Approved
504730,107191,31/10/2020,Home,2504.27,Rejected
508545,102956,02/07/2026,Auto,1389.83,Approved
504553,106887,19/03/2023,Health,743.58,Approved
502250,104972,26-07-2021,Life,10768.1,Pending
507816,107939,16-11-2023,Auto,850.48,Rejected
511890,117249,07-04-2019,Home,2330.6,Under Review
505952,113315,06/03/2019,Travel,263.07,Approved
501385,117644,28/06/2022,Auto,2240.18,Approved
502323,106526,22-02-2020,Travel,239.33,Pending
506032,103842,09/03/2024,Auto,1007.69,Under Review
507475,113352,07/09/2024,Health,608.43,Approved
511330,113666,02/24/2024,Health,358.86,Rejected
513551,112373,2023-11-13,Life,12527.01,Approved
506189,119756,15-08-2022,Home,3307.96,Approved
511812,117578,16/07/2020,Health,1174.09,Approved
508218,117781,08/01/2025,Health,819.3,Approved
512337,118076,2023-02-21,Travel,296.19,Pending
503193,106198,10/08/2019,Life,10201.8,Pending
513012,100645,2022-06-22,Life,8636.53,Approved
511227,119591,23-04-2021,Auto,1383.38,Rejected
512341,106989,08/02/2019,Auto,1303.59,Approved
509574,102419,28/05/2019,Travel,172.37,Approved
505646,116607,10/02/2023,Auto,1401.84,Approved
511401,115995,28-01-2024,Travel,453.96,Pending
503015,110090,03-10-2023,Auto,407.54,Approved
504407,103944,03/06/2021,Health,1366.36,Approved
500542,115370,27/02/2020,Travel,425.76,Under Review
507760,118728,09/05/2025,Health,88.16,Approved
504533,119465,19/12/2025,Auto,2752.08,Pending
503617,110583,12/04/2020,Auto,1919.79,Pending
510579,117105,29-08-2021,Home,3678.33,Approved
512958,110096,09/02/2025,Auto,1381.05,Rejected
501022,113093,04/03/2023,Home,2356.38,Approved
511265,118474,25-05-2026,Auto,1425.04,Approved
510210,120123,21/05/2021,Home,6636.49,Approved
501226,102153,2022-01-04,Health,528.22,Approved
508854,107642,2022-04-18,Health,350.47,Approved
506248,106793,30-10-2020,Auto,571.94,Approved
504438,106373,2025-04-05,Home,1635.81,Approved
513093,105432,02-02-2026,Home,2375.26,Approved
511323,106394,2026-04-04,Health,1973.92,Approved
514129,107863,06/10/2023,Life,16256.27,Approved
511721,106928,2021-11-18,Home,6086.78,Rejected
512902,118675,11/07/2022,Home,1183.81,Approved
506472,111423,31/03/2019,Health,980.98,Approved
514372,110916,01/29/2025,Home,3703.44,Pending
514714,115934,2022-01-25,Health,3553.29,Approved
502906,104772,27/02/2022,Health,661.28,Rejected
506194,109191,2024-07-09,Health,822.89,Rejected
501935,117540,24-05-2020,Auto,622.51,Approved
501053,104338,24/11/2020,Travel,199.05,Approved
500286,102214,2021-02-09,Auto,1879.49,Rejected
511012,109709,09/19/2019,Travel,286.72,Rejected
503322,118958,16/09/2021,Health,943.08,Approved
505304,104397,2022-09-11,Travel,239.19,Rejected
509604,117223,07/08/2019,Travel,,Rejected
511245,103823,06/07/2019,Health,3064.07,Pending
511596,116900,2026-01-31,Auto,522.78,Rejected
503658,107289,01/21/2026,Health,1165.74,Approved
501744,108941,07/06/2025,Auto,1354.81,Approved
501393,120344,2019-01-17,Auto,3237.63,Approved
514437,103141,01/29/2025,Auto,1309.31,Approved
508379,107740,13/02/2024,Home,-5327.85,Approved
505729,112107,24/07/2019,Home,1884.4,Approved
501139,113138,08/03/2022,Home,2090.78,Approved
511567,104159,2023-12-02,Travel,124.37,Pending
504877,117481,03/12/2024,Travel,233.86,Pending
500099,120363,2021-11-27,Health,805.86,Approved
502802,103979,28-08-2024,Life,9841.67,Pending
513200,118862,2020-12-06,Auto,,Rejected
501213,102752,2020-09-25,Travel,116.72,Approved
506592,117738,16/11/2023,Health,2722.32,Approved
513751,111383,13-03-2020,Auto,3514.84,Rejected
502150,100361,30/10/2022,Home,-2079.91,Rejected
508138,112266,2025-05-17,Life,11629.86,Approved
512411,111156,2023-12-02,Auto,963.19,Rejected
511117,100692,2022-01-21,Health,627.03,Rejected
506876,106333,19/11/2020,Life,22121.84,Under Review
510538,119481,02/07/2019,Travel,487.14,Under Review
502543,114157,26/08/2024,Life,12240.13,Under Review
512121,100670,2026-02-27,Health,518.83,Approved
502684,103302,2023-03-04,Auto,4526.29,Approved
507335,110569,01/13/2022,Home,4788.88,Approved
510317,108747,07/09/2019,Travel,111.62,Under Review
510986,105911,12/22/2020,Auto,885.1,Approved
500927,103505,20/03/2019,Auto,860.35,Rejected
514773,101021,09/27/2024,Home,3365.74,Approved
510438,104593,02/08/2022,Life,9350.79,Approved
508489,108128,10-07-2026,Auto,3239.49,Approved
511830,109221,2020-12-05,Travel,172.89,Rejected
501598,114401,10/08/2024,Life,6944.33,Approved
509115,114528,15-03-2020,Travel,90.21,Approved
505020,113053,03-01-2021,Health,374.05,Approved
502760,111733,16-01-2023,Auto,-952.29,Approved
505081,113934,2023-09-18,Home,6741.91,Approved
501766,120470,12-12-2025,Auto,644.08,Approved
514227,114043,08/05/2023,Travel,470.44,Rejected
504028,112878,2019-07-18,Auto,1473.82,Pending
508510,116919,01/11/2022,Auto,1520.56,Approved
513869,112316,2024-11-05,Life,4671.45,Rejected
507207,115807,08/19/2025,Auto,3313.08,Approved
508348,108934,26-12-2022,Travel,504.09,Approved
513134,119937,18/05/2023,Auto,1028.06,Rejected
504462,107434,2020-12-29,Travel,216.24,Approved
501491,120037,2019-09-02,Home,10190.1,Pending
514067,113226,30-07-2021,Home,2046.61,Rejected
505715,119785,28-09-2022,Health,496.71,Pending
510274,106666,2021-06-01,Life,11878.73,Under Review
505909,104169,10/02/2025,Home,5067.23,Rejected
506885,107252,2026-01-20,Home,1613.7,Under Review
513539,104440,2024-07-14,Auto,643.55,Rejected
505550,112353,17-08-2025,Auto,2773.3,Under Review
511881,101117,12-05-2024,Home,524.18,Approved
508694,108817,12/04/2025,Home,1246.87,Approved
513904,113849,2025-01-18,Auto,1594.68,Rejected
513073,115177,17-11-2025,Auto,612.82,Pending
509603,116764,15-04-2024,Auto,2194.89,Rejected
505948,104764,17-10-2023,Health,625.75,Rejected
514449,106731,09/11/2023,Auto,1311.12,Pending
508763,108701,02/08/2020,Home,4156.81,Approved
502924,101983,2025-02-11,Auto,928.93,Approved
507077,107042,2020-03-21,Auto,1018.0,Rejected
512967,106701,2025-02-28,Life,14776.86,Pending
500047,118359,05/06/2024,Auto,2176.23,Approved
509648,119982,21-02-2021,Travel,198.62,Approved
500902,112528,01/25/2020,Health,690.56,Rejected
504122,107975,03/03/2021,Auto,1380.35,Under Review
508157,104477,2025-10-24,Health,463.28,Approved
510925,118147,21/04/2026,Health,1225.37,Under Review
514126,103228,30/10/2024,Home,1430.16,Rejected
506351,118184,2020-11-25,Health,429.63,Approved
508020,117802,09/11/2023,Travel,215.45,Approved
508992,116604,2019-08-03,Health,255.93,Approved
508127,106791,05/16/2021,Travel,417.7,Approved
503492,118877,15-02-2020,Travel,301.33,Approved
500379,101599,03-02-2022,Auto,2168.11,Under Review
508034,101648,26/04/2026,Auto,1142.02,Under Review
508957,111730,2024-08-11,Auto,6918.15,Approved
501254,113191,2025-07-23,Home,5156.24,Approved
505681,117546,08-05-2020,Auto,1501.79,Approved
505747,109619,2019-06-13,Home,1783.27,Rejected
508974,109336,10/01/2026,Auto,3076.48,Rejected
504829,113225,05/15/2024,Travel,,Pending
514383,110136,10-07-2022,Home,1425.84,Rejected
507428,117799,07/03/2022,Life,10871.4,Rejected
504639,114919,22-10-2021,Auto,2069.47,Approved
510659,119403,06/02/2026,Health,1218.24,Pending
503508,115668,01/06/2020,Health,440.93,Approved
505364,118568,2025-12-12,Health,621.53,Pending
505826,114573,2024-11-28,Auto,3409.03,Approved
514703,110817,25-03-2022,Life,14588.55,Pending
501261,117172,23/11/2024,Health,-1096.21,Approved
505678,102679,27-09-2022,Home,4556.24,Approved
514051,104243,15-06-2025,Home,5621.34,Under Review
501579,110202,05/22/2022,Auto,950.32,Rejected
509632,104845,2025-03-09,Home,4284.92,Approved
503372,100535,2019-12-08,Home,1558.98,Pending
502267,109332,28/04/2022,Auto,5453.86,Rejected
506107,112027,03/21/2025,Auto,1520.34,Approved
512721,103906,27-06-2023,Health,337.09,Approved
505858,118927,2023-04-20,Health,,Approved
509363,116686,2024-09-26,Home,6647.55,Approved
503213,104254,01-04-2024,Health,434.94,Approved
505804,112078,2025-08-21,Health,1557.66,Approved
505123,111135,09-06-2023,Travel,181.64,Approved
513938,106122,14-05-2021,Life,10931.93,Approved
511554,109141,2026-06-18,Health,349.5,Rejected
502254,101957,2021-11-06,Home,3537.36,Approved
513514,107010,11/16/2025,Home,1388.42,Approved
501586,102767,2020-03-12,Travel,716.87,Under Review
510972,112322,12/29/2023,Health,-706.27,Approved
500304,108271,2020-04-19,Health,1516.61,Approved
513776,116077,2023-02-24,Travel,1994.57,Under Review
501575,112567,2021-11-23,Travel,392.25,Approved
509072,115146,04/27/2024,Auto,1986.54,Rejected
509941,107467,19/08/2024,Auto,-3199.2,Rejected
503668,103884,12/27/2021,Life,12244.0,Approved
501623,111398,20-12-2021,Travel,460.68,Approved
513179,118756,17/08/2023,Home,3606.11,Approved
509071,115146,09/25/2022,Auto,2942.53,Approved
505070,111839,22-05-2019,Auto,915.34,Under Review
501662,115719,18/02/2019,Home,5839.95,Approved
509441,119570,29/07/2020,Travel,154.57,Approved
502177,116000,2026-07-30,Auto,2855.2,Pending
514520,101081,29/09/2024,Travel,1673.07,Approved
505990,104473,12/26/2025,Travel,170.26,Under Review
502334,105483,20-01-2020,Auto,1127.18,Approved
505595,109961,01/31/2019,Auto,1027.3,Approved
503702,104315,04/12/2021,Life,5828.01,Under Review
501684,103965,22/11/2023,Auto,204.94,Approved
507515,116056,01/02/2023,Home,3366.85,Approved
510980,107876,05/28/2026,Health,1250.96,Approved
514141,110789,12/10/2020,Auto,1872.93,Under Review
509068,114183,03/24/2025,Auto,1111.73,Rejected
508337,105684,22/08/2019,Home,3764.68,Rejected
512022,106336,2020-08-06,Health,1873.92,Approved
506312,104694,04/12/2023,Auto,1904.82,Approved
502189,100900,23-01-2021,Auto,1600.73,Approved
504404,109042,06-08-2021,Health,,Approved
508498,102577,26-02-2026,Health,717.61,Approved
514667,107777,24-04-2019,Health,302.51,Approved
513558,109991,17/10/2021,Health,1264.08,Approved
511842,118806,10/15/2023,Health,533.73,Rejected
501373,116765,2020-07-11,Auto,2804.99,Rejected
514767,120227,24/05/2026,Auto,1369.41,Approved
511268,110948,07/23/2025,Travel,386.84,Under Review
514680,111649,03/08/2022,Home,1920.13,Rejected
509856,110923,24/05/2021,Health,749.42,Rejected
504315,106518,02/03/2022,Home,2214.15,Approved
500487,120114,05/11/2021,Auto,2412.95,Approved
503479,108939,28/09/2025,Home,6104.41,Rejected
506503,100582,12/13/2024,Health,616.73,Approved
505763,117567,10/22/2022,Health,1083.71,Pending
507259,118253,16-02-2022,Home,2268.16,Approved
507210,113563,2020-09-05,Auto,925.52,Rejected
509904,118926,30/05/2021,Auto,2256.99,Rejected
502124,102252,05-08-2026,Home,1391.04,Approved
503678,106797,06/03/2025,Travel,198.96,Approved
514561,105986,08/13/2020,Health,2123.49,Approved
512240,108312,02/20/2019,Health,1448.74,Rejected
506692,117686,2025-08-22,Auto,2603.07,Approved
513064,105055,02/13/2021,Health,804.4,Approved
513393,102665,09-04-2021,Travel,609.35,Approved
509792,110667,20/02/2026,Health,320.93,Approved
511803,116079,10/21/2019,Auto,1085.55,Rejected
513061,105055,2024-03-05,Home,2963.73,Under Review
504894,116039,23/09/2019,Auto,927.47,Approved
501123,117601,04/06/2026,Home,1031.19,Rejected
507293,110406,11-05-2026,Home,7954.29,Rejected
514329,110320,17/03/2022,Travel,348.83,Approved
502966,111322,17/03/2024,Travel,258.4,Rejected
502473,119354,2025-09-07,Health,1604.45,Approved
512295,108367,2019-10-11,Auto,1136.19,Rejected
512302,118382,2025-08-09,Auto,2345.36,Under Review
511850,113233,06/17/2025,Home,2449.54,Approved
502099,114219,2024-10-19,Travel,126.5,Under Review
500476,103376,06/19/2019,Home,3770.89,Approved
514219,105560,13-10-2021,Travel,417.3,Approved
509443,110688,07-07-2020,Health,746.07,Approved
510630,118362,28-08-2024,Auto,2816.39,Pending
502271,113714,2022-09-25,Auto,1838.2,Approved
510765,100893,06/13/2024,Life,9569.63,Pending
510316,106048,2020-03-05,Health,607.34,Pending
509336,113533,14-01-2026,Health,74.03,Approved
500836,117897,04/07/2019,Life,4992.41,Approved
514128,103228,04/24/2022,Auto,417.71,Approved
503842,105407,01/28/2022,Travel,126.19,Approved
504794,116540,13-10-2024,Auto,512.19,Pending
514642,104736,19-08-2025,Auto,1686.66,Approved
502095,104013,15/03/2024,Auto,1878.86,Rejected
511629,107381,2025-06-04,Home,4431.7,Rejected
505430,120043,09-01-2023,Home,3698.08,Approved
505706,118887,16/11/2019,Health,793.36,Pending
506399,116825,01/10/2019,Auto,1313.97,Rejected
505771,114202,02/07/2026,Auto,2092.77,Under Review
508404,120333,2023-04-30,Auto,1599.95,Approved
506489,107894,15-10-2021,Life,20923.78,Approved
501121,117601,20-03-2024,Auto,1882.69,Approved
510303,101299,18/05/2020,Health,724.72,Approved
511920,100269,22/05/2019,Auto,-1314.58,Pending
509450,113724,12/05/2021,Auto,305.12,Under Review
502585,112599,25-09-2024,Health,1971.47,Approved
512262,112855,2020-10-05,Health,8562.51,Approved
501606,102117,2022-10-10,Life,17242.64,Approved
505030,100758,26/07/2025,Home,1937.52,Rejected
513472,120299,2025-08-16,Home,1563.68,Rejected
509219,103022,2024-08-18,Auto,1257.37,Under Review
508852,106404,08/07/2026,Health,931.05,Pending
503116,113316,01-02-2020,Home,5250.12,Approved
503115,113316,05/10/2025,Home,2120.46,Rejected
500339,110140,08/08/2019,Health,975.93,Rejected
509814,116583,13-01-2022,Auto,608.11,Pending
507839,102586,17/03/2020,Health,1141.74,Rejected
509287,110591,2024-11-17,Health,1481.3,Rejected
508147,111809,08-03-2023,Auto,2120.03,Pending
501453,110144,10/21/2021,Auto,899.95,Approved
506914,105828,23/07/2020,Home,564.28,Under Review
503344,114266,08/08/2023,Home,6502.32,Approved
503502,117246,22/01/2026,Auto,1183.42,Approved
512147,104234,12/11/2024,Health,242.64,Pending
504391,119446,26/02/2021,Home,2648.24,Pending
508663,111930,20-09-2020,Home,2862.19,Rejected
511971,103970,03/03/2020,Health,1327.84,Approved
507348,105876,12/18/2022,Home,1678.34,Approved
507681,100840,18-01-2019,Home,3558.96,Approved
511767,118185,02/10/2024,Health,1505.87,Rejected
504393,116889,06/21/2025,Home,10352.62,Under Review
505683,108513,09/07/2024,Life,9756.67,Approved
505537,102331,10/02/2025,Auto,1092.99,Pending
505202,105349,13-04-2024,Auto,2322.48,Rejected
502495,100050,30-10-2019,Auto,785.74,Rejected
509258,105677,12/10/2021,Life,13352.7,Rejected
504870,111145,2022-03-16,Health,402.25,Rejected
502531,118208,2019-06-17,Health,-350.1,Approved
500168,108045,05/04/2021,Life,7051.38,Under Review
501688,101237,12/02/2020,Health,261.81,Approved
505805,104098,08/31/2020,Auto,842.06,Approved
506778,117962,21-06-2023,Life,7910.56,Under Review
509395,118028,2019-10-03,Home,10858.28,Rejected
505790,114895,03/27/2026,Home,13070.97,Approved
505080,107900,2022-01-15,Home,1214.58,Rejected
503059,114767,08/25/2021,Home,5498.16,Rejected
504830,102291,2026-06-11,Home,7119.0,Approved
510597,117201,09-07-2019,Home,1270.07,Rejected
514451,104846,29/03/2020,Home,8481.92,Approved
502692,118824,24-05-2026,Health,1941.33,Pending
504400,118087,2025-03-09,Life,3175.65,Under Review
510848,101871,2025-04-14,Auto,1972.94,Under Review
512523,109915,10/08/2023,Auto,1818.13,Rejected
509026,105559,30-08-2024,Home,1860.88,Rejected
514476,116048,06-02-2020,Auto,3672.52,Pending
503449,117925,16-06-2021,Home,2237.35,Pending
508309,114845,2023-05-18,Home,771.04,Approved
510938,119821,02/09/2025,Auto,460.96,Rejected
508630,119595,03/15/2024,Travel,209.08,Under Review
509857,100997,21-01-2024,Home,2557.51,Approved
513633,115921,11/03/2023,Auto,1947.82,Pending
511115,112542,18-06-2022,Auto,1750.45,Rejected
511627,106401,13-06-2023,Travel,370.08,Approved
503774,109693,08/19/2025,Home,1448.22,Under Review
508983,115680,04/28/2019,Health,823.69,Under Review
503269,108582,29-01-2021,Auto,976.96,Approved
507924,111685,2022-12-14,Health,1258.58,Rejected
512495,114607,2019-05-31,Auto,1114.98,Approved
510500,100001,2026-01-21,Auto,996.66,Approved
505206,108187,13/05/2023,Health,504.34,Approved
508649,106755,29/08/2022,Auto,1151.88,Approved
511729,106509,02/10/2026,Home,1379.69,Approved
508008,105328,02-02-2020,Health,3126.72,Rejected
504789,101547,16/08/2019,Life,21799.96,Pending
511872,101717,2023-03-29,Auto,968.13,Approved
503781,107115,2023-05-16,Travel,379.3,Approved
508950,120161,2023-12-13,Home,2240.26,Approved
513823,100892,22/04/2021,Auto,1618.35,Under Review
512998,106450,01-08-2020,Travel,274.31,Rejected
511843,118806,19/12/2024,Travel,614.38,Approved
503545,107585,2024-04-19,Auto,1687.52,Pending
502444,112365,18-05-2019,Health,1930.03,Approved
511574,111926,15-11-2020,Home,1136.64,Rejected
503813,101479,06/19/2025,Health,1145.54,Approved
514657,114243,16-04-2026,Health,1261.66,Pending
500930,100928,02/06/2019,Home,6044.16,Pending
508423,100550,25/12/2020,Health,2939.97,Approved
513358,106721,04/21/2025,Health,1962.5,Approved
501493,111604,2020-09-17,Health,330.95,Approved
506053,115516,08/25/2020,Life,4474.55,Rejected
513595,103568,30-01-2021,Life,10834.64,Under Review
502609,100584,25/11/2019,Home,1900.04,Rejected
507051,104181,2023-01-06,Auto,543.35,Under Review
505589,110671,10-05-2024,Home,685.75,Pending
507792,104490,01/23/2019,Home,11405.65,Under Review
501402,100346,04/23/2019,Auto,2797.96,Under Review
509214,115804,25/02/2025,Auto,1426.76,Rejected
504333,113570,05/06/2019,Auto,1125.99,Pending
509770,103483,05/09/2024,Travel,314.64,Under Review
500468,111888,15-01-2026,Travel,142.43,Approved
510130,116463,07/05/2022,Travel,-822.71,Under Review
509723,112097,24-07-2026,Health,966.25,Pending
511967,113404,06/19/2025,Auto,2477.23,Approved
